subject	roi_set	roi	condition	run	target_phase	ok	n_learn_trials	n_phase_patterns	fail_reason
sub-04	meta_metaphor	meta_L_IFG	kj	3	post	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_L_IFG	kj	3	retrieval	True	35	70	
sub-04	meta_metaphor	meta_L_IFG	kj	4	pre	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_L_IFG	kj	4	post	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_L_IFG	kj	4	retrieval	True	35	70	
sub-04	meta_metaphor	meta_L_pMTG_pSTS	yy	3	pre	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_L_pMTG_pSTS	yy	3	post	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_L_pMTG_pSTS	yy	3	retrieval	True	35	70	
sub-04	meta_metaphor	meta_L_pMTG_pSTS	yy	4	pre	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_L_pMTG_pSTS	yy	4	post	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_L_pMTG_pSTS	yy	4	retrieval	True	35	70	
sub-04	meta_metaphor	meta_L_pMTG_pSTS	kj	3	pre	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_L_pMTG_pSTS	kj	3	post	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_L_pMTG_pSTS	kj	3	retrieval	True	35	70	
sub-04	meta_metaphor	meta_L_pMTG_pSTS	kj	4	pre	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_L_pMTG_pSTS	kj	4	post	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_L_pMTG_pSTS	kj	4	retrieval	True	35	70	
sub-04	meta_metaphor	meta_L_temporal_pole	yy	3	pre	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_L_temporal_pole	yy	3	post	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_L_temporal_pole	yy	3	retrieval	True	35	70	
sub-04	meta_metaphor	meta_L_temporal_pole	yy	4	pre	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_L_temporal_pole	yy	4	post	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_L_temporal_pole	yy	4	retrieval	True	35	70	
sub-04	meta_metaphor	meta_L_temporal_pole	kj	3	pre	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_L_temporal_pole	kj	3	post	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_L_temporal_pole	kj	3	retrieval	True	35	70	
sub-04	meta_metaphor	meta_L_temporal_pole	kj	4	pre	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_L_temporal_pole	kj	4	post	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_L_temporal_pole	kj	4	retrieval	True	35	70	
sub-04	meta_metaphor	meta_R_AG	yy	3	pre	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_R_AG	yy	3	post	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_R_AG	yy	3	retrieval	True	35	70	
sub-04	meta_metaphor	meta_R_AG	yy	4	pre	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_R_AG	yy	4	post	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_R_AG	yy	4	retrieval	True	35	70	
sub-04	meta_metaphor	meta_R_AG	kj	3	pre	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_R_AG	kj	3	post	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_R_AG	kj	3	retrieval	True	35	70	
sub-04	meta_metaphor	meta_R_AG	kj	4	pre	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_R_AG	kj	4	post	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_R_AG	kj	4	retrieval	True	35	70	
sub-04	meta_metaphor	meta_R_IFG	yy	3	pre	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_R_IFG	yy	3	post	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_R_IFG	yy	3	retrieval	True	35	70	
sub-04	meta_metaphor	meta_R_IFG	yy	4	pre	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_R_IFG	yy	4	post	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_R_IFG	yy	4	retrieval	True	35	70	
sub-04	meta_metaphor	meta_R_IFG	kj	3	pre	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_R_IFG	kj	3	post	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_R_IFG	kj	3	retrieval	True	35	70	
sub-04	meta_metaphor	meta_R_IFG	kj	4	pre	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_R_IFG	kj	4	post	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_R_IFG	kj	4	retrieval	True	35	70	
sub-04	meta_metaphor	meta_R_pMTG_pSTS	yy	3	pre	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_R_pMTG_pSTS	yy	3	post	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_R_pMTG_pSTS	yy	3	retrieval	True	35	70	
sub-04	meta_metaphor	meta_R_pMTG_pSTS	yy	4	pre	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_R_pMTG_pSTS	yy	4	post	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_R_pMTG_pSTS	yy	4	retrieval	True	35	70	
sub-04	meta_metaphor	meta_R_pMTG_pSTS	kj	3	pre	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_R_pMTG_pSTS	kj	3	post	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_R_pMTG_pSTS	kj	3	retrieval	True	35	70	
sub-04	meta_metaphor	meta_R_pMTG_pSTS	kj	4	pre	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_R_pMTG_pSTS	kj	4	post	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_R_pMTG_pSTS	kj	4	retrieval	True	35	70	
sub-04	meta_metaphor	meta_R_temporal_pole	yy	3	pre	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_R_temporal_pole	yy	3	post	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_R_temporal_pole	yy	3	retrieval	True	35	70	
sub-04	meta_metaphor	meta_R_temporal_pole	yy	4	pre	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_R_temporal_pole	yy	4	post	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_R_temporal_pole	yy	4	retrieval	True	35	70	
sub-04	meta_metaphor	meta_R_temporal_pole	kj	3	pre	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_R_temporal_pole	kj	3	post	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_R_temporal_pole	kj	3	retrieval	True	35	70	
sub-04	meta_metaphor	meta_R_temporal_pole	kj	4	pre	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_R_temporal_pole	kj	4	post	False	35	70	no finite reinstatement values
sub-04	meta_metaphor	meta_R_temporal_pole	kj	4	retrieval	True	35	70	
sub-05	meta_metaphor	meta_L_AG	yy	3	pre	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_L_AG	yy	3	post	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_L_AG	yy	3	retrieval	True	35	70	
sub-05	meta_metaphor	meta_L_AG	yy	4	pre	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_L_AG	yy	4	post	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_L_AG	yy	4	retrieval	True	35	70	
sub-05	meta_metaphor	meta_L_AG	kj	3	pre	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_L_AG	kj	3	post	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_L_AG	kj	3	retrieval	True	35	70	
sub-05	meta_metaphor	meta_L_AG	kj	4	pre	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_L_AG	kj	4	post	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_L_AG	kj	4	retrieval	True	35	70	
sub-05	meta_metaphor	meta_L_IFG	yy	3	pre	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_L_IFG	yy	3	post	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_L_IFG	yy	3	retrieval	True	35	70	
sub-05	meta_metaphor	meta_L_IFG	yy	4	pre	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_L_IFG	yy	4	post	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_L_IFG	yy	4	retrieval	True	35	70	
sub-05	meta_metaphor	meta_L_IFG	kj	3	pre	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_L_IFG	kj	3	post	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_L_IFG	kj	3	retrieval	True	35	70	
sub-05	meta_metaphor	meta_L_IFG	kj	4	pre	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_L_IFG	kj	4	post	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_L_IFG	kj	4	retrieval	True	35	70	
sub-05	meta_metaphor	meta_L_pMTG_pSTS	yy	3	pre	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_L_pMTG_pSTS	yy	3	post	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_L_pMTG_pSTS	yy	3	retrieval	True	35	70	
sub-05	meta_metaphor	meta_L_pMTG_pSTS	yy	4	pre	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_L_pMTG_pSTS	yy	4	post	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_L_pMTG_pSTS	yy	4	retrieval	True	35	70	
sub-05	meta_metaphor	meta_L_pMTG_pSTS	kj	3	pre	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_L_pMTG_pSTS	kj	3	post	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_L_pMTG_pSTS	kj	3	retrieval	True	35	70	
sub-05	meta_metaphor	meta_L_pMTG_pSTS	kj	4	pre	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_L_pMTG_pSTS	kj	4	post	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_L_pMTG_pSTS	kj	4	retrieval	True	35	70	
sub-05	meta_metaphor	meta_L_temporal_pole	yy	3	pre	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_L_temporal_pole	yy	3	post	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_L_temporal_pole	yy	3	retrieval	True	35	70	
sub-05	meta_metaphor	meta_L_temporal_pole	yy	4	pre	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_L_temporal_pole	yy	4	post	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_L_temporal_pole	yy	4	retrieval	True	35	70	
sub-05	meta_metaphor	meta_L_temporal_pole	kj	3	pre	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_L_temporal_pole	kj	3	post	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_L_temporal_pole	kj	3	retrieval	True	35	70	
sub-05	meta_metaphor	meta_L_temporal_pole	kj	4	pre	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_L_temporal_pole	kj	4	post	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_L_temporal_pole	kj	4	retrieval	True	35	70	
sub-05	meta_metaphor	meta_R_AG	yy	3	pre	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_R_AG	yy	3	post	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_R_AG	yy	3	retrieval	True	35	70	
sub-05	meta_metaphor	meta_R_AG	yy	4	pre	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_R_AG	yy	4	post	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_R_AG	yy	4	retrieval	True	35	70	
sub-05	meta_metaphor	meta_R_AG	kj	3	pre	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_R_AG	kj	3	post	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_R_AG	kj	3	retrieval	True	35	70	
sub-05	meta_metaphor	meta_R_AG	kj	4	pre	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_R_AG	kj	4	post	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_R_AG	kj	4	retrieval	True	35	70	
sub-05	meta_metaphor	meta_R_IFG	yy	3	pre	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_R_IFG	yy	3	post	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_R_IFG	yy	3	retrieval	True	35	70	
sub-05	meta_metaphor	meta_R_IFG	yy	4	pre	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_R_IFG	yy	4	post	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_R_IFG	yy	4	retrieval	True	35	70	
sub-05	meta_metaphor	meta_R_IFG	kj	3	pre	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_R_IFG	kj	3	post	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_R_IFG	kj	3	retrieval	True	35	70	
sub-05	meta_metaphor	meta_R_IFG	kj	4	pre	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_R_IFG	kj	4	post	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_R_IFG	kj	4	retrieval	True	35	70	
sub-05	meta_metaphor	meta_R_pMTG_pSTS	yy	3	pre	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_R_pMTG_pSTS	yy	3	post	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_R_pMTG_pSTS	yy	3	retrieval	True	35	70	
sub-05	meta_metaphor	meta_R_pMTG_pSTS	yy	4	pre	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_R_pMTG_pSTS	yy	4	post	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_R_pMTG_pSTS	yy	4	retrieval	True	35	70	
sub-05	meta_metaphor	meta_R_pMTG_pSTS	kj	3	pre	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_R_pMTG_pSTS	kj	3	post	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_R_pMTG_pSTS	kj	3	retrieval	True	35	70	
sub-05	meta_metaphor	meta_R_pMTG_pSTS	kj	4	pre	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_R_pMTG_pSTS	kj	4	post	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_R_pMTG_pSTS	kj	4	retrieval	True	35	70	
sub-05	meta_metaphor	meta_R_temporal_pole	yy	3	pre	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_R_temporal_pole	yy	3	post	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_R_temporal_pole	yy	3	retrieval	True	35	70	
sub-05	meta_metaphor	meta_R_temporal_pole	yy	4	pre	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_R_temporal_pole	yy	4	post	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_R_temporal_pole	yy	4	retrieval	True	35	70	
sub-05	meta_metaphor	meta_R_temporal_pole	kj	3	pre	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_R_temporal_pole	kj	3	post	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_R_temporal_pole	kj	3	retrieval	True	35	70	
sub-05	meta_metaphor	meta_R_temporal_pole	kj	4	pre	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_R_temporal_pole	kj	4	post	False	35	70	no finite reinstatement values
sub-05	meta_metaphor	meta_R_temporal_pole	kj	4	retrieval	True	35	70	
sub-06	meta_metaphor	meta_L_AG	yy	3	pre	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_L_AG	yy	3	post	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_L_AG	yy	3	retrieval	True	35	70	
sub-06	meta_metaphor	meta_L_AG	yy	4	pre	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_L_AG	yy	4	post	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_L_AG	yy	4	retrieval	True	35	70	
sub-06	meta_metaphor	meta_L_AG	kj	3	pre	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_L_AG	kj	3	post	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_L_AG	kj	3	retrieval	True	35	70	
sub-06	meta_metaphor	meta_L_AG	kj	4	pre	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_L_AG	kj	4	post	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_L_AG	kj	4	retrieval	True	35	70	
sub-06	meta_metaphor	meta_L_IFG	yy	3	pre	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_L_IFG	yy	3	post	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_L_IFG	yy	3	retrieval	True	35	70	
sub-06	meta_metaphor	meta_L_IFG	yy	4	pre	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_L_IFG	yy	4	post	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_L_IFG	yy	4	retrieval	True	35	70	
sub-06	meta_metaphor	meta_L_IFG	kj	3	pre	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_L_IFG	kj	3	post	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_L_IFG	kj	3	retrieval	True	35	70	
sub-06	meta_metaphor	meta_L_IFG	kj	4	pre	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_L_IFG	kj	4	post	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_L_IFG	kj	4	retrieval	True	35	70	
sub-06	meta_metaphor	meta_L_pMTG_pSTS	yy	3	pre	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_L_pMTG_pSTS	yy	3	post	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_L_pMTG_pSTS	yy	3	retrieval	True	35	70	
sub-06	meta_metaphor	meta_L_pMTG_pSTS	yy	4	pre	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_L_pMTG_pSTS	yy	4	post	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_L_pMTG_pSTS	yy	4	retrieval	True	35	70	
sub-06	meta_metaphor	meta_L_pMTG_pSTS	kj	3	pre	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_L_pMTG_pSTS	kj	3	post	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_L_pMTG_pSTS	kj	3	retrieval	True	35	70	
sub-06	meta_metaphor	meta_L_pMTG_pSTS	kj	4	pre	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_L_pMTG_pSTS	kj	4	post	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_L_pMTG_pSTS	kj	4	retrieval	True	35	70	
sub-06	meta_metaphor	meta_L_temporal_pole	yy	3	pre	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_L_temporal_pole	yy	3	post	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_L_temporal_pole	yy	3	retrieval	True	35	70	
sub-06	meta_metaphor	meta_L_temporal_pole	yy	4	pre	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_L_temporal_pole	yy	4	post	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_L_temporal_pole	yy	4	retrieval	True	35	70	
sub-06	meta_metaphor	meta_L_temporal_pole	kj	3	pre	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_L_temporal_pole	kj	3	post	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_L_temporal_pole	kj	3	retrieval	True	35	70	
sub-06	meta_metaphor	meta_L_temporal_pole	kj	4	pre	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_L_temporal_pole	kj	4	post	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_L_temporal_pole	kj	4	retrieval	True	35	70	
sub-06	meta_metaphor	meta_R_AG	yy	3	pre	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_R_AG	yy	3	post	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_R_AG	yy	3	retrieval	True	35	70	
sub-06	meta_metaphor	meta_R_AG	yy	4	pre	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_R_AG	yy	4	post	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_R_AG	yy	4	retrieval	True	35	70	
sub-06	meta_metaphor	meta_R_AG	kj	3	pre	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_R_AG	kj	3	post	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_R_AG	kj	3	retrieval	True	35	70	
sub-06	meta_metaphor	meta_R_AG	kj	4	pre	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_R_AG	kj	4	post	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_R_AG	kj	4	retrieval	True	35	70	
sub-06	meta_metaphor	meta_R_IFG	yy	3	pre	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_R_IFG	yy	3	post	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_R_IFG	yy	3	retrieval	True	35	70	
sub-06	meta_metaphor	meta_R_IFG	yy	4	pre	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_R_IFG	yy	4	post	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_R_IFG	yy	4	retrieval	True	35	70	
sub-06	meta_metaphor	meta_R_IFG	kj	3	pre	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_R_IFG	kj	3	post	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_R_IFG	kj	3	retrieval	True	35	70	
sub-06	meta_metaphor	meta_R_IFG	kj	4	pre	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_R_IFG	kj	4	post	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_R_IFG	kj	4	retrieval	True	35	70	
sub-06	meta_metaphor	meta_R_pMTG_pSTS	yy	3	pre	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_R_pMTG_pSTS	yy	3	post	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_R_pMTG_pSTS	yy	3	retrieval	True	35	70	
sub-06	meta_metaphor	meta_R_pMTG_pSTS	yy	4	pre	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_R_pMTG_pSTS	yy	4	post	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_R_pMTG_pSTS	yy	4	retrieval	True	35	70	
sub-06	meta_metaphor	meta_R_pMTG_pSTS	kj	3	pre	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_R_pMTG_pSTS	kj	3	post	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_R_pMTG_pSTS	kj	3	retrieval	True	35	70	
sub-06	meta_metaphor	meta_R_pMTG_pSTS	kj	4	pre	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_R_pMTG_pSTS	kj	4	post	False	35	70	no finite reinstatement values
sub-06	meta_metaphor	meta_R_pMTG_pSTS	kj	4	retrieval	True	35	70	
sub-06	meta_metaphor	meta_R_temporal_pole	yy	3	pre	False	35	70	no finite reinstatement values
